SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
252,Solana,SOL,29-04-2021 23:59,4607149061,4095098379,4484995016,4246054046,77225930698,1.15E+12
253,Solana,SOL,30-04-2021 23:59,4427015223,4124350335,425000457,4295600088,53497643719,1.16E+12
254,Solana,SOL,01-05-2021 23:59,4984457903,4203086492,428933369,4950802136,85952442256,1.35E+12
255,Solana,SOL,02-05-2021 23:59,4989667224,4598182211,4950080424,4689098709,57107218745,1.28E+12
256,Solana,SOL,03-05-2021 23:59,4900945447,4504447696,4690397832,4593368941,60919425188,1.25E+12
257,Solana,SOL,04-05-2021 23:59,4775715794,4231310399,459833604,427295562,68297642841,1.16E+12
258,Solana,SOL,05-05-2021 23:59,459277921,4231573602,4263723596,4492357516,5037819747,1.22E+12
259,Solana,SOL,06-05-2021 23:59,4497405216,4259158516,4497405216,4345567555,39149701792,1.18E+12
260,Solana,SOL,07-05-2021 23:59,4605956397,4143837305,4350265476,4315501855,51434460094,1.18E+12
261,Solana,SOL,08-05-2021 23:59,4663902655,4229801778,4315206692,4556153042,45105665456,1.24E+12
